,year,date,value
0,2019,01-01,2689339
1,2019,01-02,2604322
2,2019,01-03,2760136
3,2019,01-04,2926685
4,2019,01-05,2773091
5,2019,01-06,2880041
6,2019,01-07,2991189
7,2019,01-08,2520134
8,2019,01-09,2272883
9,2019,01-10,2496568
10,2019,01-11,2441274
11,2019,01-12,2526387
12,2020,01-01,2661022
13,2020,01-02,1085147
14,2020,01-03,193658
15,2020,01-04,2917
16,2020,01-05,1663
17,2020,01-06,2565
18,2020,01-07,3782
19,2020,01-08,8658
20,2020,01-09,13684
21,2020,01-10,27386
22,2020,01-11,56673
23,2020,01-12,58673
